Zone,Population,Disponibilité intérieure Milliers de tonnes,Nourriture Milliers de tonnes,Importations - Quantité Milliers de tonnes,Exportations - Quantité Milliers de tonnes,Pertes Milliers de tonnes,Production Milliers de tonnes,Prix de Production (USD),Variation de stock Milliers de tonnes,Traitement Milliers de tonnes,CAH,KMeans
Colombie,48909839.0,1643.0,1565.0,78.0,2.0,78.0,1564.0,0.0,-4.0,0.0,4,2
Congo,5110695.0,110.0,110.0,104.0,0.0,0.0,7.0,0.0,0.0,0.0,1,0
Costa Rica,4949954.0,134.0,131.0,17.0,3.0,5.6,133.0,0.0,13.0,0.0,1,0
Croatie,4182857.0,45.0,45.0,24.0,17.0,2.2,61.0,0.0,22.0,0.0,1,0
Cuba,11339254.0,342.0,269.0,312.0,25.4,4.4,29.0,0.0,-1.0,0.0,1,0
Côte d'Ivoire,24437470.0,65.0,62.0,7.0,0.0,3.0,58.0,0.0,0.0,0.0,1,0
Danemark,5732274.0,167.0,166.0,133.0,139.0,5.2,173.0,1200.1,0.0,1.0,1,0
Djibouti,944099.0,3.0,3.0,3.0,214.0,10.2,725.1904761904761,0.0,0.0,0.0,1,0
Dominique,71458.0,4.0,3.0,4.0,0.0,0.4,0.0,0.0,0.0,0.0,1,0
El Salvador,6388126.0,131.0,131.0,16.0,2.0,5.6,136.0,2860.0,20.0,0.0,1,0
Espagne,46647428.0,1497.0,1418.0,205.0,212.0,66.0,1515.0,1309.1,11.0,13.0,4,2
Estonie,1319390.0,29.0,28.0,21.0,11.0,1.0,20.0,0.0,2.0,0.0,1,0
Eswatini,1124805.0,7.0,7.0,2.0,0.0,0.6,6.0,0.0,0.0,0.0,1,0
Fidji,877459.0,26.0,25.0,3.0,0.0,0.4,23.0,3628.6,1.0,0.0,1,0
Finlande,5511371.0,111.0,103.0,16.0,12.0,4.4,129.0,1460.7,22.0,8.0,1,0
France,64842509.0,1573.0,1485.0,506.0,501.0,66.6,1750.0,1705.7,183.0,89.0,4,2
Fédération de Russie,145530082.0,4556.0,4509.0,226.0,115.0,226.2,4444.0,1603.6,-1.0,54.0,2,1
Gabon,2064822.9999999998,78.0,61.0,76.0,0.0,0.0,4.0,0.0,2.0,0.0,1,0
Gambie,2213889.0,8.0,8.0,16.0,0.0,0.6,2.0,0.0,10.0,0.0,1,0
Ghana,29121465.0,211.0,211.0,151.0,0.0,2.8,60.0,0.0,0.0,0.0,1,0
Grenade,110874.0,8.0,5.0,7.0,0.0,0.4,1.0,5710.6,0.0,0.0,1,0
Grèce,10569450.0,178.0,162.0,79.0,29.0,8.0,246.0,2056.0,118.0,1.0,4,0
